Game ID,Result
4905002,1.05x
4905003,1.81x
4905004,3.12x
4905005,102.69x
4905006,3.38x
4905007,1.9x
4905008,1.28x
4905009,2.26x
4905010,1.57x
4905011,1.02x
4905012,8.3x
4905013,32.92x
4905014,29.28x
4905015,1.84x
4905016,1.36x
4905017,2.58x
4905018,1.22x
4905019,1.25x
4905020,1.75x
4905021,1.62x
4905022,8.93x
4905023,1.63x
4905024,3.26x
4905025,3.58x
4905026,1.69x
4905027,2.18x
4905028,1.04x
4905029,2.33x
4905030,1.69x
4905031,1.59x
4905032,5.5x
4905033,1.02x
4905034,5.09x
4905035,1.33x
4905036,4.16x
4905037,26.25x
4905038,1.09x
4905039,1.06x
4905040,38x
4905041,1.19x
4905042,1.15x
4905043,1.36x
4905044,1.67x
4905045,9.82x
4905046,18.71x
4905047,1.13x
4905048,1.08x
4905049,6.12x
4905050,1.36x
4905051,1.33x
4905052,4.5x
4905053,4.42x
4905054,2.63x
4905055,3.17x
4905056,1.13x
4905057,1.12x
4905058,9.97x
4905059,6.7x
4905060,12.55x
4905061,3.52x
4905062,3.07x
4905063,2.77x
4905064,3.7x
4905065,1.88x
4905066,5.67x
4905067,2.33x
4905068,2.23x
4905069,1.25x
4905070,5.16x
4905071,5.39x
4905072,2.14x
4905073,3x
4905074,3.71x
4905075,2.39x
4905076,1.28x
4905077,1.23x
4905078,5.72x
4905079,4.73x
4905080,3.99x
4905081,1.27x
4905082,3.54x
4905083,57.92x
4905084,1.47x
4905085,4.37x
4905086,16.87x
4905087,20.28x
4905088,3.31x
4905089,4.89x
4905090,18.69x
4905091,26.86x
4905092,3.74x
4905093,2.48x
4905094,2.37x
4905095,1.18x
4905096,3.85x
4905097,1.16x
4905098,11.96x
4905099,1.79x
4905100,1.41x
4905101,2.02x
4905102,3.67x
4905103,1.04x
4905104,1.68x
4905105,1.42x
4905106,53.1x
4905107,1.25x
4905108,43.86x
4905109,1.15x
4905110,1.09x
4905111,2.53x
4905112,1.27x
4905113,3.48x
4905114,1.19x
4905115,1.27x
4905116,1.77x
4905117,2.25x
4905118,9.11x
4905119,1.14x
4905120,1.38x
4905121,1.88x
4905122,4.92x
4905123,1.31x
4905124,98.17x
4905125,2.9x
4905126,24.81x
4905127,1.19x
4905128,1.4x
4905129,1.03x
4905130,4.79x
4905131,1.49x
4905132,2.72x
4905133,1.71x
4905134,1.3x
4905135,1.05x
4905136,1.95x
4905137,2.58x
4905138,1.14x
4905139,7.32x
4905140,273.48x
4905141,1.35x
4905142,2.87x
4905143,3.53x
4905144,9.92x
4905145,83.49x
4905146,2.74x
4905147,1.01x
4905148,1.48x
4905149,2.27x
4905150,2.62x
4905151,1.27x
4905152,1.19x
4905153,1.01x
4905154,3.49x
4905155,1.12x
4905156,1.91x
4905157,1.27x
4905158,1.75x
4905159,2.26x
4905160,1.03x
4905161,2.12x
4905162,5.26x
4905163,1.01x
4905164,1.39x
4905165,1x
4905166,2.04x
4905167,1.35x
4905168,2.45x
4905169,1.33x
4905170,122.04x
4905171,1.22x
4905172,2.42x
4905173,1.85x
4905174,1.96x
4905175,7.41x
4905176,1.39x
4905177,4.21x
4905178,2.84x
4905179,1.97x
4905180,16.56x
4905181,1.46x
4905182,4.97x
4905183,1x
4905184,1.72x
4905185,2.28x
4905186,1.56x
4905187,53.77x
4905188,2.45x
4905189,12.19x
4905190,3.32x
4905191,1.65x
4905192,1.22x
4905193,20.65x
4905194,1.34x
4905195,3.42x
4905196,1.3x
4905197,1.94x
4905198,1.25x
4905199,1.48x
4905200,1.09x
4905201,1.1x
4905202,1.42x
4905203,1.27x
4905204,1.94x
4905205,5.52x
4905206,16.4x
4905207,1.11x
4905208,1.36x
4905209,11.44x
4905210,6.77x
4905211,1.68x
4905212,1.83x
4905213,3.16x
4905214,3.56x
4905215,1x
4905216,2.21x
4905217,1.3x
4905218,2.63x
4905219,2.23x
4905220,3.64x
4905221,3.27x
4905222,8.88x
4905223,8.03x
4905224,2.04x
4905225,4.17x
4905226,2.47x
4905227,1.13x
4905228,31.89x
4905229,1.42x
4905230,1.71x
4905231,2.27x
4905232,1.13x
4905233,27.07x
4905234,1.43x
4905235,3.93x
4905236,2.02x
4905237,2.36x
4905238,2.39x
4905239,6.36x
4905240,1.33x
4905241,2.5x
4905242,1.33x
4905243,2.03x
4905244,1.25x
4905245,2.59x
4905246,1.53x
4905247,2.47x
4905248,19.04x
4905249,1.5x
4905250,1.74x
4905251,3.41x
4905252,1.69x
4905253,4.09x
4905254,2.02x
4905255,1.14x
4905256,1.14x
4905257,32.39x
4905258,1.18x
4905259,1.37x
4905260,1.85x
4905261,1.08x
4905262,1.14x
4905263,53.76x
4905264,1.09x
4905265,2.19x
4905266,2.01x
4905267,1.62x
4905268,1.53x
4905269,2.72x
4905270,1.52x
4905271,2.25x
4905272,1.71x
4905273,1.57x
4905274,4.32x
4905275,1x
4905276,2.85x
4905277,8.26x
4905278,1.27x
4905279,1.49x
4905280,3.77x
4905281,1.14x
4905282,1.86x
4905283,1.95x
4905284,96.49x
4905285,1.66x
4905286,1.66x
4905287,43.3x
4905288,3.35x
4905289,7.89x
4905290,1.3x
4905291,1.18x
4905292,3.18x
4905293,1.85x
4905294,1.06x
4905295,10.77x
4905296,3.33x
4905297,4.98x
4905298,1.82x
4905299,2.29x
4905300,25.84x
4905301,2.18x
4905302,1.32x
